85: crossover='variable_twopoint', crossover_probability='0.4686327901935655', max_tree_depth='9', max_tree_nodes='58811', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='4', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.13268670767330262', tournament_size='16', within_used='True'
86: crossover='fixed_twopoint', crossover_probability='0.30955538836823476', max_tree_depth='13', max_tree_nodes='76', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.4987998233389038', tournament_size='10', within_used='True'
87: crossover='variable_twopoint', crossover_probability='0.3011238244071771', max_tree_depth='13', max_tree_nodes='851', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.252041613792923', tournament_size='12', within_used='True'
88: crossover='fixed_twopoint', crossover_probability='0.30936129890167896', max_tree_depth='11', max_tree_nodes='4538', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='8', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.659337638070624', tournament_size='19', within_used='True'
89: crossover='subtree', crossover_probability='0.5049518464511593', max_tree_depth='10', max_tree_nodes='143', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.8699081793889536', tournament_size='13', within_used='False'
90: crossover='variable_onepoint', crossover_probability='0.5049518464511593', max_tree_depth='10', max_tree_nodes='143', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.8699081793889536', tournament_size='13', within_used='False'
91: crossover='variable_onepoint', crossover_probability='0.5814345970544427', max_tree_depth='11', max_tree_nodes='86367', mutate_duplicates='True', mutation='subtree', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.5499822021293841', tournament_size='19', within_used='True'
92: crossover='fixed_onepoint', crossover_probability='0.54346408524031', max_tree_depth='10', max_tree_nodes='509', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.8691503004437042', tournament_size='9', within_used='False'
93: crossover='variable_twopoint', crossover_probability='0.6704309728902353', max_tree_depth='8', max_tree_nodes='3274', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='8', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.42316326088236833', tournament_size='11', within_used='False'
94: crossover='fixed_onepoint', crossover_probability='0.5429109990931466', max_tree_depth='8', max_tree_nodes='1802', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='5', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.3907044029266252', tournament_size='10', within_used='False'
95: crossover='variable_onepoint', crossover_probability='0.6325439668247786', max_tree_depth='12', max_tree_nodes='177878', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='5', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.8043814395766191', tournament_size='13', within_used='True'
96: crossover='fixed_twopoint', crossover_probability='0.4406213614680973', max_tree_depth='10', max_tree_nodes='184622', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='5', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.5982807116532523', tournament_size='10', within_used='False'
