ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
18.70061427420908	60.092	12.848806366047745	48.389920424403186	40.10344827586207	52.64991892639999	21	2984	132	24.0	146.0	121.0	10	3.0	3.0	2.0	0	151	0	4.153012990951538	11000	60.925830364227295	4312	60.8	
20.750906796855208	63.468	13.289893617021276	49.901595744680854	41.44946808510638	52.64991892639999	22	3109	126	24.0	118.0	100.0	15	3.0	3.0	2.0	0	151	0	4.547504425048828	11500	65.47333478927612	4527	60.63478260869565	
20.426613631386452	63.702	13.10054347826087	49.82336956521739	41.432065217391305	52.64991892639999	23	3242	154	28.0	136.0	115.0	9	3.0	3.0	2.0	0	151	0	5.154387950897217	12000	70.62772274017334	4751	60.40833333333334	
21.027181684671163	64.242	13.143236074270558	50.09018567639257	41.63129973474801	52.64991892639999	24	3366	173	24.0	151.0	126.0	17	3.0	3.0	2.0	0	151	0	4.085863351821899	12500	74.71358609199524	4965	60.28	
21.117338142013473	63.34	12.947089947089948	49.21957671957672	40.86772486772487	52.64991892639999	25	3489	175	32.0	151.0	126.0	10	3.0	3.0	2.0	0	151	0	5.073337078094482	13000	79.78692317008972	5169	60.23846153846154	
21.244563685493357	62.914	12.699208443271768	47.514511873350926	39.39050131926121	52.64991892639999	26	3610	166	26.0	165.0	136.0	9	3.0	3.0	2.0	0	151	0	4.965565204620361	13500	84.75248837471008	5354	60.34074074074074	
21.729147119520857	64.984	13.029100529100528	50.74867724867725	42.116402116402114	52.64991892639999	27	3733	163	26.0	162.0	133.0	11	3.0	3.0	2.0	0	151	0	5.595055818557739	14000	90.34754419326782	5546	60.385714285714286	
20.428246351946203	66.208	13.104712041884817	52.403141361256544	43.57329842931937	52.64991892639999	28	3852	163	29.0	162.0	133.0	13	3.0	3.0	2.0	0	151	0	5.822258472442627	14500	96.16980266571045	5762	60.26206896551724	
20.498689121329292	67.394	13.414634146341463	53.075880758807585	44.10840108401084	52.64991892639999	29	3984	158	30.0	162.0	133.0	15	3.0	3.0	2.0	0	151	0	4.629223823547363	15000	100.79902648925781	5959	60.27333333333333	
20.76949320442553	67.584	13.520725388601036	52.56217616580311	43.73575129533679	52.64991892639999	30	4099	161	26.0	179.0	152.0	15	3.0	3.0	2.0	0	151	0	5.4963274002075195	15500	106.29535388946533	6180	60.12903225806452	
